rank,Uni,count,n_faculty
1,Northeastern University,2.5,2
1,University of Utah,2.5,4
3,Stony Brook University,2.0,3
4,University of North Carolina,1.9,3
5,Northwestern University,1.8,1
5,University of Florida,1.8,2
7,University of Washington,1.7,1
7,University of Wisconsin - Madison,1.7,2
9,North Carolina State University,1.5,1
9,University of Maryland - College Park,1.5,1
9,University of Miami,1.5,1
9,University of Notre Dame,1.5,1
9,University of Toronto,1.5,2
14,Dalhousie University,1.4,1
14,Univ. of California - Irvine,1.4,2
16,CUNY,1.3,1
16,Duke University,1.3,2
16,Harvard University,1.3,2
16,New York University,1.3,2
16,Ohio State University,1.3,1
16,Purdue University,1.3,1
16,Stanford University,1.3,1
16,Tulane University,1.3,1
16,Univ. of California - Santa Barbara,1.3,1
16,Univ. of California - Santa Cruz,1.3,1
16,Univ. of Illinois at Urbana-Champaign,1.3,1
16,University of Michigan,1.3,1
16,University of Waterloo,1.3,1
16,Wayne State University,1.3,1
30,Simon Fraser University,1.2,1
30,UNC - Charlotte,1.2,1
30,University of Central Florida,1.2,1
30,University of Minnesota,1.2,1
30,University of Pennsylvania,1.2,1
