rank,Uni,count,n_faculty
1,Stanford University,2.7,4
2,University of Wisconsin - Madison,2.6,3
3,University of Toronto,2.5,3
3,University of Washington,2.5,4
5,University of Pennsylvania,2.3,4
5,University of Texas at Austin,2.3,2
7,Pennsylvania State University,2.1,3
7,Univ. of Illinois at Urbana-Champaign,2.1,4
9,Cornell University,2.0,4
9,Princeton University,2.0,2
11,Massachusetts Institute of Technology,1.9,2
12,Carnegie Mellon University,1.8,3
12,University of Colorado Boulder,1.8,2
14,Brown University,1.7,2
15,Northeastern University,1.6,2
15,University of Utah,1.6,2
17,Georgia Institute of Technology,1.5,2
17,McGill University,1.5,2
17,Oregon State University,1.5,1
17,Stevens Institute of Technology,1.5,2
17,Univ. of California - Santa Cruz,1.5,1
17,University of Louisiana - Lafayette,1.5,1
17,University of Massachusetts Amherst,1.5,1
17,University of Massachusetts Boston,1.5,1
25,Indiana University,1.3,1
25,Ohio State University,1.3,1
25,Purdue University,1.3,2
25,Texas A&M University,1.3,1
25,Tufts University,1.3,1
25,Univ. of California - Irvine,1.3,1
25,University of Maryland - College Park,1.3,1
25,University of Michigan,1.3,2
25,University of Rochester,1.3,1
25,Yale University,1.3,1
